id,name,addr,lat,lng,sport,format,capacity,surface,access,reserveUrl,montrealUrl,photo_url,status,reserved_slots,notes
MTL75,Terrain de soccer du parc Philippe-Laheurte,"3035, avenue Ernest-Hemingway, Montréal (Québec)",45.504318,-73.719385,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-philippe-laheurte,,libre,,"Arrondissement : Saint-Laurent
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL76,Terrain de soccer du parc Pie-XII,"5200, boulevard Lavoisier, Montréal (Québec)",45.58721,-73.608256,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-pie-xii,,libre,,"Arrondissement : Saint-Léonard
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL77,Terrain de soccer du parc Pierre-Blanchet,"12279, avenue Pierre-Blanchet, Montréal (Québec)",45.627965,-73.603535,soccer,7v7,14,Gazon naturel,Réservable par permis,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-pierre-blanchet,,libre,,"Arrondissement : Rivière-des-Prairies–Pointe-aux-Trembles
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL78,Terrain de soccer du parc Primeau,"10958, avenue Pelletier, Montréal (Québec)",45.592901,-73.635636,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-primeau,,libre,,"Arrondissement : Montréal-Nord
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL80,Terrain de soccer du parc René-Masson,"9175, boulevard Perras, Montréal (Québec)",45.652433,-73.578701,soccer,11v11,22,Synthétique,Réservable par permis,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-rene-masson,,libre,,"Arrondissement : Rivière-des-Prairies–Pointe-aux-Trembles
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL81,Terrain de soccer du parc Riverdale,"5060, boulevard des Sources, Montréal (Québec) H8Y 3E4",45.509807,-73.822852,soccer,9v9 + 11v11 + 4x5v5,22,Gazon,Non réservable,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-riverdale,,libre,,9v9 + 11v11 + 4x5v5; 6 h–23 h
MTL82,Terrain de soccer du parc Roman-Zytynsky,"1555, boulevard Jules-Poitras, Montréal (Québec)",45.528412,-73.67882,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-roman-zytynsky,,libre,,"Arrondissement : Saint-Laurent
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL84,Terrain de soccer du parc Saint-André-Apôtre,"10550, avenue de l'Esplanade, Montréal (Québec)",45.546673,-73.67205,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-saint-andre-apotre,,libre,,"Arrondissement : Ahuntsic-Cartierville
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL87,Terrain de soccer du parc Saint-Marcel,"1647, 6e Avenue, Montréal (Québec)",45.639887,-73.507384,soccer,7v7,14,Synthétique,Réservable par permis,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-saint-marcel,,libre,,"Arrondissement : Rivière-des-Prairies–Pointe-aux-Trembles
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL91,Terrain de soccer du parc Victor-P.-Gray,"18e Avenue, Montréal (Québec)",45.498061,-73.80837,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-victor-p-gray,,libre,,"Arrondissement : Pierrefonds-Roxboro
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL92,Terrain de soccer du parc William-Bowie,"4955, avenue Trenholme, Montréal (Québec)",45.500934,-73.565362,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-william-bowie,,libre,,"Arrondissement : Côte-des-Neiges–Notre-Dame-de-Grâce
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL96,Terrain de soccer intérieur du complexe sportif St-Jean-Vianney,"12640, boulevard Gouin Est, Montréal (Québec)",45.691621,-73.519654,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-interieur-du-complexe-sportif-st-jean-vianney,,libre,,"Arrondissement : Rivière-des-Prairies–Pointe-aux-Trembles
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL102,Terrains de soccer du parc Baldwin,"4355, rue Fullum, Montréal (Québec)",45.537337,-73.568381,soccer,,,,Réservable (priorité permis),,https://montreal.ca/lieux/terrains-de-soccer-du-parc-baldwin,,libre,,"Arrondissement : Le Plateau-Mont-Royal
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL103,Terrains de soccer du parc Beaubien d'Outremont,"Parc Beaubien d'Outremont, Montréal (Québec)",45.516359,-73.609642,soccer,9v9 + terrain multisport,18,Synthétique + naturel,Réservable (priorité permis),,https://montreal.ca/lieux/terrains-de-soccer-du-parc-beaubien-doutremont,,libre,,"Arrondissement : Outremont
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL104,Terrains de soccer du parc Champdoré,"2400, rue Champdoré, Montréal (Québec)",45.568286,-73.635894,soccer,,,,,,https://montreal.ca/lieux/terrains-de-soccer-du-parc-champdore,,libre,,"Arrondissement : Villeray–Saint-Michel–Parc-Extension
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL105,Terrains de soccer du parc Clifford,"1820, avenue Clifford, Montréal (Québec)",45.450255,-73.58973,soccer,,,,,,https://montreal.ca/lieux/terrains-de-soccer-du-parc-clifford,,libre,,"Arrondissement : Le Sud-Ouest
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL106,Terrains de soccer du parc Conrad-Poirier,"avenue Salomon-Marion et boulevard Perras, Montréal (Québec)",45.637321,-73.597538,soccer,2x7v7 + 11v11,22,Gazon naturel + synthétique,Réservable par permis,,https://montreal.ca/lieux/terrains-de-soccer-du-parc-conrad-poirier,,libre,,"Arrondissement : Rivière-des-Prairies–Pointe-aux-Trembles
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL108,Terrains de soccer du parc Dalbé-Viau,"rue Esther-Blondin et rue Duff Court, Montréal (Québec)",45.445019,-73.678766,soccer,,,,,,https://montreal.ca/lieux/terrains-de-soccer-du-parc-dalbe-viau,,libre,,"Arrondissement : Lachine
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL109,Terrains de soccer du parc Daniel-Johnson,"1500, boulevard du Tricentenaire, Montréal (Québec)",45.650664,-73.501418,soccer,11v11 + 2x7v7 + 7v7,22,Synthétique + naturel,Réservable par permis,,https://montreal.ca/lieux/terrains-de-soccer-du-parc-daniel-johnson,,libre,,"Arrondissement : Rivière-des-Prairies–Pointe-aux-Trembles
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL110,Terrains de soccer du parc Ferland,"6020, boulevard Lavoisier, Montréal (Québec)",45.59718,-73.598568,soccer,,,,,,https://montreal.ca/lieux/terrains-de-soccer-du-parc-ferland,,libre,,"Arrondissement : Saint-Léonard
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL111,Terrains de soccer du parc Hébert,"7505, boulevard Provencher, Montréal (Québec)",45.572575,-73.591777,soccer,,,,,,https://montreal.ca/lieux/terrains-de-soccer-du-parc-hebert,,libre,,"Arrondissement : Saint-Léonard
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL112,Terrains de soccer du parc Jarry,"205, rue Gary-Carter, Montréal (Québec)",45.534894,-73.631532,soccer,,,,,,https://montreal.ca/lieux/terrains-de-soccer-du-parc-jarry,,libre,,"Arrondissement : Villeray–Saint-Michel–Parc-Extension
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL114,Terrains de soccer du parc Loyola,"4877, avenue Doherty, Montréal (Québec)",45.461411,-73.646182,soccer,,,Synthétique + 4 naturels,Réservable (priorité permis),,https://montreal.ca/lieux/terrains-de-soccer-du-parc-loyola,,libre,,"Arrondissement : Côte-des-Neiges–Notre-Dame-de-Grâce
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL115,Terrains de soccer du parc Saint-Jean-Baptiste,"1050, boulevard Saint-Jean-Baptiste, Montréal (Québec)",45.640576,-73.498532,soccer,2x7v7,14,Gazon naturel,Réservable par permis,,https://montreal.ca/lieux/terrains-de-soccer-du-parc-saint-jean-baptiste,,libre,,"Arrondissement : Rivière-des-Prairies–Pointe-aux-Trembles
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL116,Terrains de soccer du parc Trenholme,"6800, rue Sherbrooke Ouest, Montréal (Québec)",45.460749,-73.631387,soccer,,,,,,https://montreal.ca/lieux/terrains-de-soccer-du-parc-trenholme,,libre,,"Arrondissement : Côte-des-Neiges–Notre-Dame-de-Grâce
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL117,Terrains de soccer du parc Villeray,"8000, rue De Normanville, Montréal (Québec)",45.546648,-73.620101,soccer,,,Synthétique + naturel,Accès libre (horaires),,https://montreal.ca/lieux/terrains-de-soccer-du-parc-villeray,,libre,,"Arrondissement : Villeray–Saint-Michel–Parc-Extension
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL118,Terrains de soccer Jason-Di Tullio du parc Samuel-Morse,"12100, avenue François-Larocque, Montréal (Québec)",45.639721,-73.585382,soccer,4x7v7,14,Synthétique,Réservable par permis,,https://montreal.ca/lieux/terrains-de-soccer-jason-di-tullio-du-parc-samuel-morse,,libre,,"Arrondissement : Rivière-des-Prairies–Pointe-aux-Trembles
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL120,Terrains synthétiques extérieurs du complexe sportif St-Jean-Vianney,"12640, boulevard Gouin Est, Montréal (Québec)",45.691621,-73.519654,soccer,,,Synthétique,,,https://montreal.ca/lieux/terrains-synthetiques-exterieurs-du-complexe-sportif-st-jean-vianney,,libre,,"Arrondissement : Rivière-des-Prairies–Pointe-aux-Trembles
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
